gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Ain Zaghouan,218,5.0,2,1,nan,1,1100000.0
tunis,Les Berges Du Lac,202,3.0,2,1,nan,1,1300000.0
tunis,Ariana Ville,132,3.0,2,2,Nouveau,1,594000.0
tunis,Ain Zaghouan,123,3.0,2,2,Nouveau,1,455000.0
tunis,Ariana Ville,84,2.0,1,1,Bon état,1,380000.0
tunis,Aouina,147,4.0,3,2,Bon état,1,370000.0
tunis,Aouina,155,4.0,4,1,Bon état,1,295000.0
tunis,Aouina,70,2.0,1,1,Moins d'un an,1,239000.0
tunis,Aouina,157,4.0,3,2,Nouveau,1,399000.0
tunis,Aouina,50,2.0,1,1,Nouveau,1,210000.0
tunis,Ariana Ville,120,3.0,2,2,Moins d'un an,1,450000.0
tunis,Ariana Ville,93,3.0,2,1,Bon état,1,380000.0
tunis,Ariana Ville,224,4.0,2,1,nan,1,800000.0
tunis,Ain Zaghouan,170,4.0,3,2,Nouveau,1,745000.0
tunis,Aouina,50,1.0,1,1,1-5 ans,1,175000.0
tunis,Ain Zaghouan,130,3.0,2,2,Bon état,1,310000.0
tunis,Ariana Ville,130,4.0,2,1,nan,1,420000.0
tunis,Ariana Ville,154,4.0,3,3,Bon état,1,530000.0
tunis,Ariana Ville,70,2.0,1,1,Moins d'un an,1,420000.0
tunis,Ariana Ville,300,4.0,3,3,Moins d'un an,1,1800000.0
tunis,Ain Zaghouan,104,3.0,2,1,Bon état,1,250000.0
tunis,Gammarth,118,2.0,1,1,Nouveau,1,800000.0
tunis,Ariana Ville,140,2.0,2,1,nan,1,350000.0
tunis,Ariana Ville,149,4.0,3,3,1-5 ans,1,695000.0
tunis,Ariana Ville,153,3.0,2,3,Moins d'un an,2,1025000.0
tunis,Ariana Ville,137,3.0,2,2,Moins d'un an,2,724000.0
tunis,Gammarth,63,2.0,1,1,Nouveau,1,350000.0
tunis,Ariana Ville,150,3.0,2,1,nan,1,850000.0
tunis,Gammarth,130,3.0,2,1,Moins d'un an,1,375000.0
tunis,Ariana Ville,225,4.0,3,3,1-5 ans,1,1237000.0
tunis,Ariana Ville,74,2.0,1,1,Moins d'un an,1,375000.0
tunis,Le Bardo,74,2.0,2,1,nan,1,170000.0
tunis,Gammarth,150,3.0,2,1,Bon état,1,2500000.0
tunis,Gammarth,95,3.0,2,1,Nouveau,1,550000.0
tunis,Gammarth,165,4.0,3,2,1-5 ans,2,465000.0
tunis,Ain Zaghouan,140,3.0,2,2,Nouveau,1,650000.0
tunis,La Goulette,114,2.0,2,1,nan,1,440000.0
tunis,Ain Zaghouan,100,3.0,2,2,Moins d'un an,1,320000.0
tunis,Ariana Ville,65,3.0,2,1,Moins d'un an,1,210000.0
tunis,Le Bardo,116,2.0,2,1,nan,1,195000.0
tunis,Gammarth,175,4.0,3,2,Moins d'un an,2,490000.0
tunis,Ain Zaghouan,132,2.0,2,1,Nouveau,1,450000.0
tunis,Ariana Ville,220,4.0,3,2,Moins d'un an,5,850000.0
tunis,Aouina,64,3.0,2,1,Bon état,1,260000.0
tunis,Les Berges Du Lac,170,3.0,3,1,Bon état,1,600000.0
tunis,Ariana Ville,200,3.0,2,1,Bon état,1,380000.0
tunis,Ariana Ville,163,4.0,4,3,Moins d'un an,1,875000.0
tunis,Ariana Ville,102,3.0,2,2,Nouveau,1,472590.0
tunis,El Manar,86,3.0,2,2,1-5 ans,1,230000.0
tunis,El Manar,90,2.0,2,1,nan,1,210000.0
tunis,Ariana Ville,212,2.0,2,1,nan,1,1000000.0
tunis,Cite El Khadra,137,3.0,2,2,Moins d'un an,1,550000.0
tunis,Cite El Khadra,95,2.0,2,1,nan,1,155000.0
tunis,Ariana Ville,145,4.0,2,1,Nouveau,1,768500.0
tunis,Gammarth,150,2.0,2,1,nan,1,1200000.0
tunis,Ariana Ville,220,3.0,2,1,nan,1,1050000.0
tunis,La Goulette,179,2.0,2,1,nan,1,465000.0
tunis,La Goulette,110,2.0,2,1,nan,1,265000.0
tunis,Gammarth,120,4.0,3,2,Bon état,1,500000.0
tunis,Ariana Ville,72,2.0,1,1,Bon état,1,320000.0
tunis,Ain Zaghouan,140,3.0,2,2,Bon état,1,700000.0
tunis,Ariana Ville,90,3.0,2,1,Bon état,1,195000.0
tunis,Ain Zaghouan,117,2.0,1,1,1-5 ans,2,300000.0
tunis,Ariana Ville,300,3.0,4,1,Nouveau,1,680000.0
tunis,Ariana Ville,90,3.0,2,1,10-20 ans,2,175000.0
tunis,El Omrane,115,3.0,2,1,Bon état,1,150000.0
tunis,Ariana Ville,172,2.0,2,1,nan,1,845000.0
tunis,Ariana Ville,300,5.0,4,5,5-10 ans,1,2800000.0
tunis,Les Berges Du Lac,146,5.0,4,3,1-5 ans,1,530000.0
tunis,Ariana Ville,164,2.0,2,1,nan,1,580000.0
tunis,Cite El Khadra,163,2.0,2,1,nan,1,340000.0
tunis,Ariana Ville,224,5.0,4,2,Nouveau,1,895000.0
tunis,Les Berges Du Lac,201,2.0,2,1,nan,1,1150000.0
tunis,Ariana Ville,300,5.0,4,4,Nouveau,1,1200000.0
tunis,Ariana Ville,175,4.0,3,3,Bon état,1,780000.0
tunis,Ariana Ville,140,4.0,3,2,Nouveau,1,742000.0
tunis,Ariana Ville,83,2.0,1,1,Bon état,1,380000.0
tunis,Ariana Ville,200,5.0,4,2,1-5 ans,1,650000.0
