delegation,superficie,nb_pieces,chambres,salle_de_bains,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
33.0,156.0,2.0,3,2,2,0.0,0.0,0.0,1.0,220000.0
9.0,127.0,3.0,2,2,1,0.0,0.0,0.0,1.0,400000.0
62.0,180.0,4.0,3,3,1,0.0,0.0,0.0,1.0,850000.0
33.0,85.0,2.0,1,1,1,0.0,0.0,0.0,1.0,290000.0
37.0,121.0,4.0,3,1,1,0.0,0.0,0.0,1.0,195860.0
33.0,264.0,2.0,2,1,1,0.0,0.0,0.0,1.0,570000.0
33.0,288.0,6.0,5,3,1,0.0,0.0,0.0,1.0,980000.0
62.0,80.0,3.0,2,1,1,0.0,0.0,0.0,1.0,325000.0
33.0,51.0,2.0,1,1,1,0.0,0.0,0.0,1.0,309000.0
33.0,247.0,6.0,4,3,1,0.0,0.0,0.0,1.0,820000.0
33.0,134.0,4.0,3,2,1,0.0,0.0,0.0,1.0,450000.0
21.0,291.0,4.0,3,3,1,0.0,0.0,0.0,1.0,970000.0
33.0,70.0,2.0,1,1,1,0.0,0.0,0.0,1.0,440000.0
9.0,148.0,4.0,3,2,1,0.0,0.0,0.0,1.0,370000.0
21.0,161.0,4.0,3,3,4,0.0,0.0,0.0,1.0,514000.0
33.0,51.0,2.0,2,1,2,0.0,0.0,0.0,1.0,295896.0
33.0,81.0,3.0,2,1,1,0.0,0.0,0.0,1.0,270000.0
62.0,137.0,3.0,2,2,8,0.0,0.0,0.0,1.0,500000.0
57.0,158.0,2.0,3,1,1,0.0,0.0,0.0,1.0,580000.0
33.0,166.0,4.0,3,2,1,0.0,0.0,0.0,1.0,748000.0
57.0,160.0,4.0,3,2,3,0.0,0.0,0.0,1.0,500000.0
33.0,126.0,3.0,2,2,1,0.0,0.0,0.0,1.0,592600.0
33.0,119.0,4.0,3,2,1,0.0,0.0,0.0,1.0,393000.0
57.0,140.0,3.0,2,1,1,0.0,0.0,0.0,1.0,420000.0
29.0,100.0,4.0,3,1,1,0.0,0.0,0.0,1.0,245000.0
19.0,114.0,3.0,2,2,1,0.0,0.0,0.0,1.0,380000.0
62.0,130.0,3.0,2,1,1,0.0,0.0,0.0,1.0,660000.0
62.0,171.0,3.0,2,2,1,0.0,0.0,0.0,1.0,850000.0
33.0,85.0,2.0,1,1,1,0.0,0.0,0.0,1.0,413000.0
21.0,101.0,3.0,4,1,1,0.0,0.0,0.0,1.0,325000.0
20.0,123.0,4.0,3,2,2,0.0,0.0,0.0,1.0,205000.0
21.0,160.0,4.0,3,2,1,0.0,0.0,0.0,1.0,785000.0
21.0,135.0,3.0,2,2,1,0.0,0.0,0.0,1.0,350000.0
9.0,129.0,2.0,1,1,1,0.0,0.0,0.0,1.0,410000.0
21.0,60.0,2.0,1,1,1,0.0,0.0,0.0,1.0,238000.0
33.0,113.0,3.0,2,2,1,0.0,0.0,0.0,1.0,490000.0
62.0,195.0,5.0,3,2,1,0.0,0.0,0.0,1.0,860000.0
33.0,266.0,4.0,2,1,1,0.0,0.0,0.0,1.0,679000.0
21.0,218.0,5.0,2,1,1,0.0,0.0,0.0,1.0,1100000.0
62.0,202.0,3.0,2,1,1,0.0,0.0,0.0,1.0,1300000.0
33.0,132.0,3.0,2,2,1,0.0,0.0,0.0,1.0,594000.0
21.0,123.0,3.0,2,2,1,0.0,0.0,0.0,1.0,455000.0
33.0,84.0,2.0,1,1,1,0.0,0.0,0.0,1.0,380000.0
9.0,147.0,4.0,3,2,1,0.0,0.0,0.0,1.0,370000.0
9.0,155.0,4.0,4,1,1,0.0,0.0,0.0,1.0,295000.0
9.0,70.0,2.0,1,1,1,0.0,0.0,0.0,1.0,239000.0
9.0,157.0,4.0,3,2,1,0.0,0.0,0.0,1.0,399000.0
9.0,50.0,2.0,1,1,1,0.0,0.0,0.0,1.0,210000.0
33.0,120.0,3.0,2,2,1,0.0,0.0,0.0,1.0,450000.0
33.0,93.0,3.0,2,1,1,0.0,0.0,0.0,1.0,380000.0
33.0,224.0,4.0,2,1,1,0.0,0.0,0.0,1.0,800000.0
21.0,170.0,4.0,3,2,1,0.0,0.0,0.0,1.0,745000.0
9.0,50.0,1.0,1,1,1,0.0,0.0,0.0,1.0,175000.0
21.0,130.0,3.0,2,2,1,0.0,0.0,0.0,1.0,310000.0
33.0,130.0,4.0,2,1,1,0.0,0.0,0.0,1.0,420000.0
33.0,154.0,4.0,3,3,1,0.0,0.0,0.0,1.0,530000.0
33.0,70.0,2.0,1,1,1,0.0,0.0,0.0,1.0,420000.0
33.0,300.0,4.0,3,3,1,0.0,0.0,0.0,1.0,1800000.0
21.0,104.0,3.0,2,1,1,0.0,0.0,0.0,1.0,250000.0
57.0,118.0,2.0,1,1,1,0.0,0.0,0.0,1.0,800000.0
33.0,140.0,2.0,2,1,1,0.0,0.0,0.0,1.0,350000.0
33.0,149.0,4.0,3,3,1,0.0,0.0,0.0,1.0,695000.0
33.0,153.0,3.0,2,3,2,0.0,0.0,0.0,1.0,1025000.0
33.0,137.0,3.0,2,2,2,0.0,0.0,0.0,1.0,724000.0
57.0,63.0,2.0,1,1,1,0.0,0.0,0.0,1.0,350000.0
33.0,150.0,3.0,2,1,1,0.0,0.0,0.0,1.0,850000.0
57.0,130.0,3.0,2,1,1,0.0,0.0,0.0,1.0,375000.0
33.0,225.0,4.0,3,3,1,0.0,0.0,0.0,1.0,1237000.0
33.0,74.0,2.0,1,1,1,0.0,0.0,0.0,1.0,375000.0
20.0,74.0,2.0,2,1,1,0.0,0.0,0.0,1.0,170000.0
